表示ｺｰﾄﾞ,新商品ｺｰﾄﾞ案,商品名,商品名索引,単位,製品長さ(mm),ｶｯﾄ長さ(mm),得意先(検索)ｺｰﾄﾞ
0,7000000000001,注文NO,ﾁｭｳﾓﾝﾉ,,0,0,700000
0,7000000000002,1,,,0,0,700000
0,7000000000003,消耗品,ｼｮｳﾓｳﾋﾝ,,0,0,700000
0,7000000000004,修理,ｼｭｳﾘ,,0,0,700000
0,7000000000005,開発,ｶｲﾊﾂ,,0,0,700000
0,7000000000006,試作,,,0,0,700000
0,7000000000007,金型費,,,0,0,700000
0,700000B000001,運賃,,,0,0,700000
0,700000D000001,手数料,,,0,0,700000
0,700000D000002,運賃(大阪売上用),,,0,0,700000
0,700000D000003,商品売上,ｼｮｳﾋﾝｳﾘｱｹﾞ,式,0,0,700000
0,700000D000004,原材料,,,0,0,700000
0,700000D000005,運賃(大阪売上用)双葉実業様分,,,0,0,700000
0,700000D000007,運賃(大阪売上用)食品ｻﾝﾌﾟﾙ30kg未満,,kg,0,0,700000
0,700000I000001,運賃(売上用),,,0,0,700000
0,700000I000002,商品売上,ｼｮｳﾋﾝｳﾘｱｹﾞ,式,0,0,700000
0,700000I000004,原材料 石狩,,,0,0,700000
1,754022I000101,8色ﾁｮｺｽﾌﾟﾚｰ(100g),8ｲﾛﾁｮｺｽﾌﾟﾚ,袋,0,0,700000
0,700001D001006,8色ﾁｮｺｽﾌﾟﾚｰ(100g)　1kg～ご注文分,8ﾛﾁｮｺｽﾌﾟﾚ,袋,0,0,700000
1,700001D001010,うどんD-5 標準 □5.0x3.5(山口商店様),ｳﾄﾞﾝD-5,kg,0,0,770021
1,700001D000301,うどんD-4,ｳﾄﾞﾝD,kg,0,0,700000
1,700001D000401,うどんD-5 □5.0x3.5,ｳﾄﾞﾝD-5,kg,0,0,700000
1,700001D000501,きし麺 D-5 □7.0x2.0,ｷｼﾒﾝ,kg,0,0,700000
1,700001D000601,きし麺 D-5 □10.0x2.0,ｷｼﾒﾝ,kg,0,0,700000
1,700001D000701,きし麺 D-6 □10.0x2.0 (非ﾌﾀﾙ酸),ｷｼﾒﾝ,kg,0,0,700000
1,700001D000801,きし麺 D-6 □7.0x2.0 (非ﾌﾀﾙ酸),ｷｼﾒﾝ,kg,0,0,700000
1,700001D000901,ｺﾞﾏ,ｺﾞﾏ,kg,0,0,700000
1,700001D001101,ｽﾊﾟｹﾞﾃｨ φ2.2mm (中華そばC原料),ｽﾊﾟｹﾞﾃｨ,kg,0,0,700000
1,700001D001201,そうめん　φ1.2,ｿｳﾒﾝ,kg,0,0,700000
1,700001D001202,素麺 1.2φ,,,0,0,700000
1,700001D001301,ちゃんぽん麺,ﾁｬﾝﾎﾟﾝﾒﾝ,kg,0,0,700000
1,700001D001401,ﾊﾟﾝ粉 小,ﾊﾟﾝｺ ｼｮｳ,kg,0,0,700000
1,700001D001501,ひやむぎ 1.8角,ﾋﾔﾑｷﾞ,kg,0,0,700000
1,700001D001601,ﾋﾞﾘﾔﾆﾗｲｽ(標準色),ﾋﾞﾘﾔﾆﾗｲｽ(ｼ,kg,0,0,700000
1,700001D001701,ﾌｪｯﾄﾁｰﾈ 7mmx2mm(中華そばC原料),ﾌｪｯﾄﾁｰﾈ 7m,kg,0,0,700000
1,700001D001801,黄ｽﾊﾟ　φ2.2,ｷｽﾊﾟ,kg,0,0,700000
0,700001D001901,紅しょうが,ﾍﾞﾆｼｮｳｶﾞ,kg,0,0,700000
1,700001D001902,紅しょうが 角2mmX2mm,ﾍﾞﾆｼｮｳｶﾞ ｶ,㎏,0,0,700000
1,700001D002101,紅しょうが 角3mmX3mm,ﾍﾞﾆｼｮｳｶﾞｶｸ,㎏,0,0,700000
1,700001D002201,春雨,ﾊﾙｻﾒ,kg,0,0,700000
1,700001D002301,春雨4(非ﾌﾀﾙ酸) 角1.5mm,ﾊﾙｻﾒ,kg,0,0,700000
0,700001D002401,青ﾈｷﾞ 1巻=5kg 150m(ﾋﾓ) 普通10mm,,,0,0,700000
1,700001D002402,濃青ねぎ φ8.0,ｺｲｱｵﾈｷﾞ,kg,0,0,700000
1,700001D002501,薄青ねぎ φ8.0,ｳｽｱｵﾈｷﾞ,kg,0,0,700000
1,700001D002601,薄青ねぎ φ3x1.8,ｳｽｱｵﾈｷﾞ,kg,0,0,700000
1,700001D002701,濃青ねぎ φ12.0,ｺｲｱｵﾈｷﾞ,kg,0,0,700000
1,700001D002801,赤ｽﾊﾟ2,ｱｶｽﾊﾟ,kg,0,0,700000
0,700001D002802,赤ｽﾊﾟ(在庫品)10kg,ｱｶｽﾊﾟ(ｻﾞｲｺ,kg,0,0,700000
0,700001D002803,赤ｽﾊﾟ(在庫品)20kg,ｱｶｽﾊﾟ(ｻﾞｲｺ,kg,0,0,700000
1,700001D002901,大根のけん0.8x1.2角,ﾀﾞｲｺﾝｹﾝ,kg,0,0,700000
1,700001D003101,中華そばB □1.7,ﾁｭｳｶｿﾊﾞB,kg,0,0,700000
1,700001D003201,中華そばC □1.7,C,kg,0,0,700000
1,700001D003301,白ｽﾊﾟφ3.9(標準ｻｲｽﾞ外),ｽﾊﾟｹﾞﾃｨ,kg,0,0,700000
1,700001D003401,白ｽﾊﾟφ2.2,ｼﾛｽﾊﾟ,kg,0,0,700000
0,700001D003501,白ﾈｷﾞ 1巻=5kg 150m(ﾋﾓ) 普通10mm,ｼﾛﾈ,,0,0,700000
1,700001D003601,和そば□1.8,ﾜｿﾊﾞ,kg,0,0,700000
1,700001D003701,ｺｰﾙｽﾛｰ白,ｺｰﾙｽﾛｰｼﾛ,kg,0,0,700000
1,700001D003801,ｺｰﾙｽﾛｰ緑,ｺｰﾙｽﾛｰﾐﾄﾞﾘ,kg,0,0,700000
